物件名,住所,間取り,家賃,階数,最寄りまでの時間
東急目黒線 不動前駅 地下1地上3階建 新築,東京都目黒区下目黒３,2DK,18.8万円,"新築
地下1地上3階建",東急目黒線/不動前駅 歩6分
つくばエクスプレス 六町駅 3階建 築4年,東京都足立区六町１,2DK,12.8万円,"築4年
3階建",つくばエクスプレス/六町駅 歩2分
第３ＴＫビル六町,東京都足立区六町１,2DK,12.8万円,"築4年
3階建",つくばエクスプレス/六町駅 歩2分
ビバリーホームズ東武練馬,東京都板橋区西台３,2DK,9.7万円,"築15年
地下1地上4階建",東武東上線/東武練馬駅 歩10分
インペリアル　パークI,東京都江戸川区篠崎町２,2LDK,10.5万円,"築11年
8階建",都営新宿線/篠崎駅 歩7分
ル・リオン南大井,東京都品川区南大井５,2DK,13.3万円,"築11年
9階建",ＪＲ京浜東北線/大森駅 歩9分
CASABELLA,東京都板橋区清水町,2SDK,19.1万円,"新築
地下1地上3階建",都営三田線/板橋本町駅 歩7分
コーラル,東京都練馬区南田中５,2DK,12.6万円,"築8年
2階建",西武池袋線/石神井公園駅 歩9分
エスポワール　Ａ棟,東京都葛飾区高砂５,2LDK,13万円,"築8年
2階建",京成本線/京成高砂駅 歩5分
東京メトロ日比谷線 三ノ輪駅 10階建 新築,東京都台東区竜泉３,2SLDK,18.5万円,"新築
10階建",東京メトロ日比谷線/三ノ輪駅 歩7分
京成本線 堀切菖蒲園駅 3階建 新築,東京都葛飾区堀切２,2SLDK,19.2万円,"新築
3階建",京成本線/堀切菖蒲園駅 歩6分
Kolet堀切菖蒲園♯06,東京都葛飾区堀切２,2SLDK,19.2万円,"新築
3階建",京成本線/堀切菖蒲園駅 歩6分
メゾン　ド　ソレイユ,東京都江戸川区篠崎町２,2SLDK,14.2万円,"築10年
5階建",都営新宿線/篠崎駅 歩8分
ＪＲ山手線 目黒駅 4階建 築5年,東京都品川区上大崎３,2DK,18万円,"築5年
4階建",ＪＲ山手線/目黒駅 歩6分
サンライズ北小岩,東京都江戸川区北小岩１,2LDK,12万円,"築4年
3階建",京成本線/江戸川駅 歩6分
ユアメゾン竜泉,東京都台東区竜泉３,2LDK,16.7万円,"新築
3階建",東京メトロ日比谷線/三ノ輪駅 歩7分
ジェノヴィア南千住IIIスカイガーデン,東京都台東区清川２,2LDK,14.1万円,"築3年
12階建",ＪＲ常磐線/南千住駅 歩9分
ＪＲ常磐線 南千住駅 12階建 築3年,東京都台東区清川２,2LDK,14.1万円,"築3年
12階建",ＪＲ常磐線/南千住駅 歩9分
サンライズ北小岩,東京都江戸川区北小岩１,2LDK,12万円,"築4年
3階建",京成本線/江戸川駅 歩6分
ロゼッタ,東京都板橋区中丸町,2DK,13.2万円,"築13年
11階建",東武東上線/大山駅 歩10分
ボワエトワール立石,東京都葛飾区立石４,2LDK,17万円,"築11年
8階建",京成押上線/京成立石駅 歩7分
京成金町線 柴又駅 3階建 築11年,東京都葛飾区柴又７,2LDK,12.3万円,"築11年
3階建",京成金町線/柴又駅 歩3分
プラージュ　竹の塚,東京都足立区竹の塚１,2LDK,12万円,"築10年
2階建",東武伊勢崎線/竹ノ塚駅 歩7分
Joanna～ジョアンナ～,東京都葛飾区鎌倉１,2LDK,15.5万円,"新築
3階建",京成本線/京成小岩駅 歩8分
ＪＲ総武線 新小岩駅 3階建 築2年,東京都葛飾区西新小岩４,2LDK,13.8万円,"築2年
3階建",ＪＲ総武線/新小岩駅 歩9分
東京メトロ日比谷線 三ノ輪駅 10階建 新築,東京都台東区竜泉３,2LDK,18.7万円,"新築
10階建",東京メトロ日比谷線/三ノ輪駅 歩7分
シャーメゾン　ハウオリ,東京都葛飾区柴又５,2LDK,15.7万円,"新築
3階建",北総線/新柴又駅 歩5分
日暮里・舎人ライナー 谷在家駅 3階建 築6年,東京都足立区谷在家３,2LDK,11.7万円,"築6年
3階建",日暮里・舎人ライナー/谷在家駅 歩6分
大島戸建,東京都江東区大島２,2SLDK,18.5万円,"築6年
3階建",都営新宿線/西大島駅 歩7分
日暮里・舎人ライナー 見沼代親水公園駅 3階建 築8年,東京都足立区舎人４,2LDK,11万円,"築8年
3階建",日暮里・舎人ライナー/見沼代親水公園駅 歩5分
Ａｒｒｏｗｓａｌ西荻南,東京都杉並区西荻南２,2DK,14.3万円,"築5年
5階建",ＪＲ総武線/西荻窪駅 歩5分
サン・グレイス,東京都江戸川区西小岩２,2LDK,10.2万円,"築10年
2階建",ＪＲ総武線/小岩駅 歩10分
Ｖｅｓｔａ,東京都江戸川区一之江４,2LDK,13.6万円,"築11年
2階建",都営新宿線/一之江駅 歩5分
ＪＲ中央線 東中野駅 3階建 築8年,東京都中野区上高田１,2LDK,14.5万円,"築8年
3階建",ＪＲ中央線/東中野駅 歩13分
Ｋｏｌｅｔ堀切菖蒲園＃０４,東京都葛飾区小菅２,2SLDK,19.5万円,"築2年
3階建",京成本線/堀切菖蒲園駅 歩9分
ＡＺＺＵＲＲＩ,東京都足立区青井２,2LDK,10.3万円,"築15年
3階建",つくばエクスプレス/青井駅 歩9分
（シニア限定）ヘーベルヴィレッジ京成高砂～ヘーベルヴィレッジクレイプマ,東京都葛飾区高砂２,2LDK,16.3万円,"新築
3階建",京成本線/京成高砂駅 歩4分
西武新宿線 下井草駅 2階建 新築,東京都中野区鷺宮６,2LDK,16.2万円,"新築
2階建",西武新宿線/下井草駅 歩7分
アルバレス六町,東京都足立区六町２,2LDK,14.4万円,"新築
3階建",つくばエクスプレス/六町駅 歩7分
（シニア限定）ヘーベルヴィレッジ八広,東京都墨田区八広４,2LDK,17.3万円,"築3年
3階建",京成押上線/八広駅 歩6分
エクセルベル,東京都足立区綾瀬２,2LDK,14万円,"築9年
2階建",ＪＲ常磐線/綾瀬駅 歩6分
パークハウス舎人,東京都足立区西伊興３,2LDK,9.5万円,"築9年
2階建",日暮里・舎人ライナー/舎人公園駅 歩10分
東武伊勢崎線 鐘ヶ淵駅 3階建 築2年,東京都墨田区墨田２,2SLDK,19.4万円,"築2年
3階建",東武伊勢崎線/鐘ヶ淵駅 歩5分
都営新宿線 篠崎駅 3階建 築8年,東京都江戸川区篠崎町２,2LDK,13万円,"築8年
3階建",都営新宿線/篠崎駅 歩9分
ａｆｆｉｎｏ,東京都江戸川区東瑞江３,2LDK,14.7万円,"築13年
2階建",都営新宿線/瑞江駅 歩5分
アーバネックス菊川,東京都墨田区立川３,2LDK,18.5万円,"築5年
7階建",都営新宿線/菊川駅 歩7分
エトワール・デュ・マタン,東京都足立区西伊興２,2LDK,11.2万円,"新築
2階建",日暮里・舎人ライナー/舎人公園駅 歩9分
西武池袋線 中村橋駅 10階建 築3年,東京都練馬区中村北２,2DK,18.5万円,"築3年
10階建",西武池袋線/中村橋駅 歩4分
練馬区中村北2丁目楽器可（防音・24時間演奏可能・グランドピアノ・弦管,東京都練馬区中村北２,2DK,18.5万円,"築3年
10階建",西武池袋線/中村橋駅 歩4分
モナークレジデンス西葛西,東京都江戸川区西葛西２,2SLDK,16.9万円,"築12年
9階建",東京メトロ東西線/西葛西駅 歩9分
東京メトロ東西線 葛西駅 5階建 新築,東京都江戸川区東葛西５,2LDK,16万円,"新築
5階建",東京メトロ東西線/葛西駅 歩9分
アーバネックス菊川,東京都墨田区立川３,2LDK,18.5万円,"築5年
7階建",都営新宿線/菊川駅 歩7分
西武新宿線 沼袋駅 3階建 新築,東京都中野区沼袋２,2LDK,13.5万円,"新築
3階建",西武新宿線/沼袋駅 歩9分
Promenade哲学堂,東京都中野区沼袋２,2LDK,13.5万円,"新築
3階建",西武新宿線/沼袋駅 歩9分
Bella　Luce,東京都足立区舎人２,2LDK,10万円,"築15年
2階建",日暮里・舎人ライナー/見沼代親水公園駅 歩3分
東京メトロ日比谷線 入谷駅 12階建 新築,東京都台東区入谷２,2LDK,16.7万円,"新築
12階建",東京メトロ日比谷線/入谷駅 歩3分
Le・Soleil鎌倉,東京都葛飾区鎌倉１,2LDK,17.5万円,"築2年
3階建",京成本線/京成小岩駅 歩10分
京成本線 京成小岩駅 3階建 築2年,東京都葛飾区鎌倉１,2LDK,17.5万円,"築2年
3階建",京成本線/京成小岩駅 歩10分
東京メトロ有楽町線 江戸川橋駅 8階建 築7年,東京都文京区水道２,2LDK,19.6万円,"築7年
8階建",東京メトロ有楽町線/江戸川橋駅 歩5分
BELLEZZA BUNKYOU,東京都文京区水道２,2LDK,19.6万円,"築7年
8階建",東京メトロ有楽町線/江戸川橋駅 歩5分
東京メトロ日比谷線 入谷駅 14階建 築3年,東京都台東区千束２,2LDK,20万円,"築3年
14階建",東京メトロ日比谷線/入谷駅 歩8分
東武伊勢崎線 小菅駅 2階建 築15年,東京都葛飾区小菅１,2SLDK,19万円,"築15年
2階建",東武伊勢崎線/小菅駅 歩10分
ＪＲ京浜東北線 大森駅 14階建 新築,東京都品川区南大井５,2DK,20万円,"新築
14階建",ＪＲ京浜東北線/大森駅 歩9分
ＪＲ総武線 亀戸駅 10階建 新築,東京都江東区亀戸２,2LDK,17.9万円,"新築
10階建",ＪＲ総武線/亀戸駅 歩7分
MEINSCHLOSS亀戸,東京都江東区亀戸２,2LDK,17.9万円,"新築
10階建",ＪＲ総武線/亀戸駅 歩5分
つくばエクスプレス 六町駅 3階建 新築,東京都足立区西加平１,2LDK,12.5万円,"新築
3階建",つくばエクスプレス/六町駅 歩9分
（仮称）西瑞江３丁目計画新築工事,東京都江戸川区西瑞江３,2LDK,14万円,"新築
3階建",都営新宿線/一之江駅 歩9分
Park Lounge 西巣鴨,東京都北区西ケ原４,2LDK,13.9万円,"新築
3階建",都営三田線/西巣鴨駅 歩7分
（シニア限定）Hebel Village 櫻,東京都葛飾区奥戸３,2LDK,14.6万円,"築3年
3階建",新小５８系統/五丁目住宅 歩1分
ドエル北小岩,東京都江戸川区北小岩１,2LDK,13.2万円,"築13年
2階建",ＪＲ総武線/小岩駅 歩10分
日暮里・舎人ライナー 西新井大師西駅 3階建 築1年,東京都足立区西新井６,2LDK,12.8万円,"築1年
3階建",日暮里・舎人ライナー/西新井大師西駅 歩9分
グランジュテ,東京都足立区六町３,2LDK,14.5万円,"築9年
7階建",つくばエクスプレス/六町駅 歩5分
日暮里・舎人ライナー 見沼代親水公園駅 2階建 築11年,東京都足立区舎人２,2LDK,12万円,"築11年
2階建",日暮里・舎人ライナー/見沼代親水公園駅 歩3分
ステージファースト浅草橋IV,東京都台東区柳橋２,2LDK,19.4万円,"築1年
8階建",ＪＲ総武線/浅草橋駅 歩4分
京成本線 千住大橋駅 4階建 築6年,東京都足立区千住河原町,2LDK,16万円,"築6年
4階建",京成本線/千住大橋駅 歩6分
グランデ　ヴェルデ　ドゥエ,東京都足立区西加平１,2LDK,13.4万円,"築8年
3階建",つくばエクスプレス/六町駅 歩9分
Ｔ‐ＦＬＡＴＳ,東京都江戸川区西葛西３,2LDK,17万円,"築12年
5階建",東京メトロ東西線/西葛西駅 歩5分
ステージファースト浅草橋IV,東京都台東区柳橋２,2LDK,19.4万円,"築1年
8階建",ＪＲ総武線/浅草橋駅 歩4分
Ｃａｓａ　Ｃｉｅｌｏ（カーサ　シエロ）,東京都中野区南台５,2LDK,19万円,"新築
3階建",東京メトロ丸ノ内線/方南町駅 歩7分
都営新宿線 篠崎駅 9階建 新築,東京都江戸川区上篠崎４,2LDK,16.8万円,"新築
9階建",都営新宿線/篠崎駅 歩5分
５丁目ハウス,東京都墨田区墨田５,2LDK,17万円,"築7年
2階建",東武伊勢崎線/堀切駅 歩4分
つくばエクスプレス 六町駅 3階建 築8年,東京都足立区西加平１,2LDK,13.8万円,"築8年
3階建",つくばエクスプレス/六町駅 歩9分
グランドゥール,東京都江戸川区鹿骨２,2SLDK,12.3万円,"築11年
2階建",都営新宿線/篠崎駅 歩18分
日暮里・舎人ライナー 見沼代親水公園駅 3階建 新築,東京都足立区舎人４,2SLDK,19.7万円,"新築
3階建",日暮里・舎人ライナー/見沼代親水公園駅 歩6分
トーヨーメゾン西一之江,東京都江戸川区西一之江３,2LDK,13.8万円,"築4年
3階建",都営新宿線/一之江駅 歩10分
スカイツリーNW,東京都台東区清川１,2LDK,17.9万円,"新築
5階建",東京メトロ日比谷線/南千住駅 歩10分
東京メトロ日比谷線 南千住駅 5階建 新築,東京都台東区清川１,2LDK,17.9万円,"新築
5階建",東京メトロ日比谷線/南千住駅 歩10分
東京メトロ東西線 葛西駅 7階建 築3年,東京都江戸川区中葛西６,2LDK,13.95万円,"築3年
7階建",東京メトロ東西線/葛西駅 歩10分
篠崎町2丁目戸建て,東京都江戸川区篠崎町２,2LDK,17.5万円,"築12年
3階建",都営新宿線/篠崎駅 歩5分
グランテトワール　７０１,東京都中央区佃２,2LDK,20万円,"築6年
8階建",東京メトロ有楽町線/月島駅 歩2分
柳生貸家（やぎゅうかしや）,東京都墨田区墨田３,2LDK,15万円,"築12年
2階建",東武伊勢崎線/鐘ヶ淵駅 歩2分
ザ・ガーデンズ西葛西,東京都江戸川区西葛西２,2LDK,18万円,"築9年
19階建",東京メトロ東西線/西葛西駅 歩8分
東急大井町線 大岡山駅 4階建 築1年,東京都目黒区大岡山１,2LDK,19.7万円,"築1年
4階建",東急大井町線/大岡山駅 歩7分
ＪＲ総武線 錦糸町駅 9階建 築3年,東京都墨田区亀沢４,2LDK,17.9万円,"築3年
9階建",ＪＲ総武線/錦糸町駅 歩9分
メゾネットピーチ,東京都杉並区井草３,2LDK,10.5万円,"築10年
2階建",西武新宿線/井荻駅 歩7分
サンパレス早宮No.2,東京都練馬区早宮４,2LDK,14.5万円,"築9年
2階建",東京メトロ有楽町線/平和台駅 歩7分
都営新宿線 瑞江駅 3階建 築15年,東京都江戸川区東瑞江３,2LDK,14.5万円,"築15年
3階建",都営新宿線/瑞江駅 歩10分
ＨＪ　ＰＬＡＣＥ　ＭＥＧＵＲＯ,東京都目黒区下目黒２,2LDK,16.5万円,"築3年
地下1地上4階建",ＪＲ山手線/目黒駅 歩9分
東京メトロ東西線 葛西駅 3階建 新築,東京都江戸川区東葛西５,2LDK,14.9万円,"新築
3階建",東京メトロ東西線/葛西駅 歩10分
ALERO後楽園,東京都文京区水道１,2LDK,19.3万円,"築9年
5階建",東京メトロ丸ノ内線/後楽園駅 歩10分
ＪＲ総武線 錦糸町駅 10階建 築7年,東京都墨田区太平４,2LDK,20万円,"築7年
10階建",ＪＲ総武線/錦糸町駅 歩8分
Stone Forest V,東京都豊島区南長崎６,2LDK,19.5万円,"新築
4階建",西武池袋線/東長崎駅 歩7分
Sky Rokucho,東京都足立区六町１,2LDK,15.2万円,"築2年
5階建",つくばエクスプレス/六町駅 歩3分
板橋区大山東町楽器可（防音・24時間演奏・管弦楽器・声楽・DTM）マン,東京都板橋区大山東町,2DK,20万円,"新築
地下1地上4階建",東武東上線/大山駅 歩2分
（仮称）亀戸８丁目メゾン,東京都江東区亀戸８,2LDK,19.3万円,"新築
3階建",ＪＲ総武線/亀戸駅 歩11分
サラシャンティ,東京都足立区六町２,2LDK,15.5万円,"新築
3階建",つくばエクスプレス/六町駅 歩4分
PETITO南台,東京都中野区南台５,2LDK,18万円,"新築
3階建",東京メトロ丸ノ内線/方南町駅 歩4分
ＰＡＳＥＯ目黒,東京都目黒区下目黒２,2LDK,19.7万円,"築5年
4階建",ＪＲ山手線/目黒駅 歩8分
足立区江北４丁目戸建,東京都足立区江北４,2LDK,14.5万円,"築15年
3階建",日暮里・舎人ライナー/江北駅 歩3分
足立区江北4丁目戸建て,東京都足立区江北４,2LDK,14.5万円,"築15年
3階建",日暮里・舎人ライナー/江北駅 歩3分
日暮里・舎人ライナー 江北駅 3階建 築15年,東京都足立区江北４,2LDK,14.5万円,"築15年
3階建",日暮里・舎人ライナー/江北駅 歩3分
ＪＲ山手線 池袋駅 3階建 新築,東京都豊島区池袋１,2LDK,19.3万円,"新築
3階建",ＪＲ山手線/池袋駅 歩8分
西武池袋線 大泉学園駅 3階建 築8年,東京都練馬区東大泉４,2LDK,14万円,"築8年
3階建",西武池袋線/大泉学園駅 歩5分
東京メトロ東西線 葛西駅 8階建 築7年,東京都江戸川区東葛西６,2LDK,18.5万円,"築7年
8階建",東京メトロ東西線/葛西駅 歩9分
イニシア葛西,東京都江戸川区東葛西６,2LDK,18.5万円,"築7年
8階建",東京メトロ東西線/葛西駅 歩9分
Ｒｅｓｉｄｅｎｃｅ　Ｋｏｔａｋｅ,東京都江東区大島５,2LDK,17万円,"新築
4階建",都営新宿線/大島駅 歩3分
京王線 八幡山駅 3階建 築15年,東京都世田谷区八幡山３,2DK,11.8万円,"築15年
3階建",京王線/八幡山駅 歩5分
つくばエクスプレス 六町駅 5階建 築2年,東京都足立区六町１,2LDK,15.2万円,"築2年
5階建",つくばエクスプレス/六町駅 歩3分
（仮称）舎人１丁目メゾン,東京都足立区舎人１,2LDK,13.8万円,"新築
2階建",日暮里・舎人ライナー/舎人駅 歩2分
都営三田線 西高島平駅 2階建 築4年,東京都板橋区高島平５,2LDK,13.9万円,"築4年
2階建",都営三田線/西高島平駅 歩5分
ハウス亀戸,東京都江東区亀戸３,2LDK,16.7万円,"新築
4階建",東京メトロ半蔵門線/押上駅 歩10分
東京メトロ半蔵門線 押上駅 4階建 新築,東京都江東区亀戸３,2LDK,16.7万円,"新築
4階建",東京メトロ半蔵門線/押上駅 歩10分
ミリアレジデンス両国,東京都墨田区両国１,2LDK,18.3万円,"築2年
12階建",ＪＲ総武線/両国駅 歩3分
ＪＲ総武線 両国駅 12階建 築2年,東京都墨田区両国１,2LDK,18.3万円,"築2年
12階建",ＪＲ総武線/両国駅 歩3分
西武池袋線 石神井公園駅 2階建 新築,東京都練馬区石神井町７,2LDK,16.3万円,"新築
2階建",西武池袋線/石神井公園駅 歩7分
ｌｕｍｉｎａｒｅ,東京都北区志茂５,2LDK,14.6万円,"新築
2階建",東京メトロ南北線/志茂駅 歩9分
FONTANA/フォンターナ,東京都豊島区千早２,2LDK,18万円,"新築
2階建",東京メトロ有楽町線/千川駅 歩9分
都営大江戸線 両国駅 12階建 築13年,東京都墨田区石原４,2LDK,18.2万円,"築13年
12階建",都営大江戸線/両国駅 歩13分
ロイヤルパークスシーサー,東京都足立区西新井栄町１,2LDK,17.9万円,"築15年
14階建",東武伊勢崎線/西新井駅 歩5分
東武伊勢崎線 西新井駅 14階建 築15年,東京都足立区西新井栄町１,2LDK,17.9万円,"築15年
14階建",東武伊勢崎線/西新井駅 歩5分
宮本町戸建,東京都板橋区宮本町,2SLDK,19.8万円,"築14年
3階建",都営三田線/板橋本町駅 歩7分
宮本町戸建,東京都板橋区宮本町,2SLDK,19.8万円,"築14年
3階建",都営三田線/板橋本町駅 歩7分
都営三田線 板橋本町駅 3階建 築14年,東京都板橋区宮本町,2SLDK,19.8万円,"築14年
3階建",都営三田線/板橋本町駅 歩7分
東京メトロ南北線 志茂駅 2階建 新築,東京都北区志茂５,2LDK,14.8万円,"新築
2階建",東京メトロ南北線/志茂駅 歩9分
HJ　PLACE　SHIMOMEGURO,東京都目黒区下目黒３,2LDK,18.9万円,"築3年
地下1地上4階建",東急目黒線/不動前駅 歩9分
東武東上線 ときわ台駅 5階建 新築,東京都板橋区南常盤台２,2LDK,15.7万円,"新築
5階建",東武東上線/ときわ台駅 歩6分
